route_key,mode,o_zone_id,d_zone_id,o_x_coord,o_y_coord,d_x_coord,d_y_coord,total_distance_mile,total_distance_km,straight_line_distance_mile,straight_line_distance_km,distance_ratio,total_free_flow_travel_time,total_congestion_travel_time,volume,WKT_geometry
1_3_auto,auto,1,3,4.08015e-315,0,4.08015e-315,0,3.7,5.9533,0,0,1,3.47,4.7556,0,"LINESTRING()"
1_7_auto,auto,1,7,4.08015e-315,0,4.08015e-315,0,2.16,3.47544,0,0,1,2.17,3.30528,0,"LINESTRING()"
1_9_auto,auto,1,9,4.08015e-315,0,4.08015e-315,0,1.13,1.81817,0,0,1,1.24,1.59631,0,"LINESTRING()"
3_2_auto,auto,3,2,4.08015e-315,0,4.08015e-315,0,3.12,5.02008,0,0,1,3.07,3.73184,0,"LINESTRING()"
3_7_auto,auto,3,7,4.08015e-315,0,4.08015e-315,0,2.08,3.34672,0,0,1,2.13,2.36059,0,"LINESTRING()"
3_8_auto,auto,3,8,4.08015e-315,0,4.08015e-315,0,1.12,1.80208,0,0,1,1.35,1.35615,0,"LINESTRING()"
4_1_auto,auto,4,1,4.08015e-315,0,4.08015e-315,0,3.91,6.29119,0,0,1,3.68,4.77172,0,"LINESTRING()"
4_2_auto,auto,4,2,4.08015e-315,0,4.08015e-315,0,3.34,5.37406,0,0,1,3.31,3.97184,0,"LINESTRING()"
4_7_auto,auto,4,7,4.08015e-315,0,4.08015e-315,0,2.3,3.7007,0,0,1,2.37,2.60059,0,"LINESTRING()"
4_8_auto,auto,4,8,4.08015e-315,0,4.08015e-315,0,1.34,2.15606,0,0,1,1.59,1.59615,0,"LINESTRING()"
4_10_auto,auto,4,10,4.08015e-315,0,4.08015e-315,0,3.96,6.37164,0,0,1,3.71,4.80176,0,"LINESTRING()"
5_3_auto,auto,5,3,4.08015e-315,0,4.08015e-315,0,3.7,5.9533,0,0,1,3.46,4.7456,0,"LINESTRING()"
5_7_auto,auto,5,7,4.08015e-315,0,4.08015e-315,0,2.16,3.47544,0,0,1,2.16,3.29528,0,"LINESTRING()"
5_8_auto,auto,5,8,4.08015e-315,0,4.08015e-315,0,3.21,5.16489,0,0,1,3.19,4.40202,0,"LINESTRING()"
5_9_auto,auto,5,9,4.08015e-315,0,4.08015e-315,0,1.13,1.81817,0,0,1,1.23,1.58631,0,"LINESTRING()"
6_1_auto,auto,6,1,4.08015e-315,0,4.08015e-315,0,1.13,1.81817,0,0,1,1.21,1.40473,0,"LINESTRING()"
7_1_auto,auto,7,1,4.08015e-315,0,4.08015e-315,0,2.12,3.41108,0,0,1,2.09,2.71182,0,"LINESTRING()"
7_2_auto,auto,7,2,4.08015e-315,0,4.08015e-315,0,1.55,2.49395,0,0,1,1.72,1.91195,0,"LINESTRING()"
7_3_auto,auto,7,3,4.08015e-315,0,4.08015e-315,0,2.11,3.39499,0,0,1,2.16,2.26736,0,"LINESTRING()"
7_8_auto,auto,7,8,4.08015e-315,0,4.08015e-315,0,1.62,2.60658,0,0,1,1.89,1.92379,0,"LINESTRING()"
8_2_auto,auto,8,2,4.08015e-315,0,4.08015e-315,0,2.6,4.1834,0,0,1,2.76,3.38003,0,"LINESTRING()"
8_3_auto,auto,8,3,4.08015e-315,0,4.08015e-315,0,1.18,1.89862,0,0,1,1.39,1.40509,0,"LINESTRING()"
8_7_auto,auto,8,7,4.08015e-315,0,4.08015e-315,0,1.56,2.51004,0,0,1,1.82,2.00877,0,"LINESTRING()"
9_3_auto,auto,9,3,4.08015e-315,0,4.08015e-315,0,3.11,5.00399,0,0,1,3.08,3.59656,0,"LINESTRING()"
9_7_auto,auto,9,7,4.08015e-315,0,4.08015e-315,0,1.57,2.52613,0,0,1,1.78,2.14625,0,"LINESTRING()"
9_8_auto,auto,9,8,4.08015e-315,0,4.08015e-315,0,2.62,4.21558,0,0,1,2.81,3.25299,0,"LINESTRING()"
11_3_auto,auto,11,3,4.08015e-315,0,4.08015e-315,0,3.74,6.01766,0,0,1,3.49,4.77568,0,"LINESTRING()"
11_13_auto,auto,11,13,4.08015e-315,0,4.08015e-315,0,3.71,5.96939,0,0,1,3.43,4.71577,0,"LINESTRING()"
12_2_auto,auto,12,2,4.08015e-315,0,4.08015e-315,0,3.04,4.89136,0,0,1,2.96,3.62189,0,"LINESTRING()"
12_10_auto,auto,12,10,4.08015e-315,0,4.08015e-315,0,3.66,5.88894,0,0,1,3.36,4.45181,0,"LINESTRING()"
